ID,set1,set2,set3,set4,set5,set6,set7,set8,set9,set10,set11,set12,set13,set14,set15
430,4,5,0,6,5,7,0,0,2,4,4,5,2,0,5
431,6,5,2,6,4,7,5,0,0,5,4,0,0,0,5
432,4,4,0,6,4,7,4,0,2,6,6,3,0,0,3
433,4,6,5,0,4,7,0,0,0,7,4,0,0,1,5
434,6,5,4,6,4,7,0,0,0,0,4,0,0,0,5
435,5,5,2,7,5,7,2,0,0,4,0,0,4,0,7
436,4,7,0,6,4,7,1,4,1,4,4,6,0,1,5
437,4,5,0,6,0,7,0,1,2,4,5,4,0,0,0
438,4,1,4,6,6,7,0,0,1,0,6,0,1,1,4
439,0,5,1,2,5,7,0,0,0,4,0,0,0,0,5
440,4,4,4,6,5,5,0,0,0,3,4,0,1,4,5
441,4,5,0,6,6,7,4,0,0,4,4,0,6,0,5
442,4,5,0,0,7,7,6,0,0,4,4,1,0,1,7
443,5,5,0,4,4,7,1,0,2,5,4,0,4,0,7
444,0,5,0,7,6,1,1,0,4,4,4,1,2,4,5
445,4,5,4,2,4,7,0,4,1,6,4,0,0,0,5
446,4,5,0,6,4,3,1,6,0,4,4,6,2,0,5
447,7,5,0,6,0,7,5,0,4,4,4,0,0,4,7
448,5,5,0,6,4,7,4,4,0,3,5,0,0,0,5
449,2,5,0,6,7,7,1,0,0,4,4,2,4,2,7
450,4,5,2,6,4,6,4,0,0,4,4,0,4,0,5
451,4,5,0,2,4,6,0,0,0,5,4,0,4,0,5
452,4,0,0,6,1,3,0,2,0,4,4,0,0,0,7
453,6,5,0,6,4,7,0,1,0,0,0,1,2,0,1
454,4,7,0,6,4,5,1,1,0,4,4,0,0,1,5
455,5,4,0,4,4,3,0,1,5,6,6,0,0,0,5
456,4,5,1,6,4,3,4,0,1,5,4,5,0,6,5
457,5,7,0,6,4,5,0,0,0,6,6,0,0,0,5
458,4,5,0,6,4,7,6,6,4,4,4,1,0,0,4
459,4,5,0,6,5,7,0,0,2,3,6,2,0,0,5
460,0,1,0,6,4,7,0,0,0,4,4,2,0,0,3
461,4,4,0,4,4,5,0,0,0,6,4,0,0,0,5
462,4,5,0,6,4,5,0,4,1,4,4,0,0,0,4
463,4,5,0,2,6,3,0,6,0,4,4,1,1,0,4
464,4,5,0,6,4,7,0,4,6,7,6,0,0,0,5
465,4,5,0,6,6,7,0,0,1,4,4,2,0,4,5
466,5,4,0,6,6,5,2,0,2,4,4,0,4,6,5
467,5,7,2,6,4,5,2,1,0,5,6,0,1,4,1
468,4,5,0,2,4,7,4,2,0,4,6,1,0,0,5
469,4,5,0,6,4,7,0,0,0,4,6,4,0,4,3
470,4,5,1,6,4,7,2,0,0,4,4,4,0,0,5
471,4,5,0,6,4,5,0,4,0,4,4,0,0,0,5
472,2,5,1,2,6,7,0,0,0,4,4,1,7,2,7
473,5,7,0,6,4,5,0,0,0,2,4,4,0,0,5
474,4,1,4,6,0,7,1,0,1,0,4,0,2,2,7
475,4,7,0,6,0,3,0,0,4,4,4,0,0,4,4
476,4,5,1,4,4,2,0,0,0,1,4,3,3,0,5
477,0,5,5,6,4,3,0,1,4,6,4,0,4,0,3
478,5,5,0,4,4,7,0,0,0,4,4,0,2,0,5
479,4,5,1,6,4,7,2,0,3,4,4,0,1,0,5
480,5,1,4,7,4,6,3,0,0,6,4,0,1,0,1
481,4,5,0,6,0,7,0,0,0,5,0,0,0,4,5
482,4,5,4,6,4,7,2,0,4,4,4,0,4,1,1
483,1,5,0,7,4,7,0,2,0,4,4,0,0,0,5
484,4,5,0,6,4,7,2,2,0,5,4,0,0,0,5
485,4,5,0,6,4,6,0,0,0,4,4,2,0,2,5
486,4,4,0,7,4,6,6,4,0,5,4,0,0,0,5
487,6,5,0,7,5,3,3,0,0,4,0,0,2,1,7
488,4,5,6,6,4,5,1,0,0,4,2,0,0,5,4
489,5,1,4,6,4,7,0,0,0,5,4,2,0,0,1
490,6,5,0,6,1,7,0,0,1,4,4,0,0,0,7
491,0,5,0,6,4,5,1,0,0,4,4,0,4,0,5
492,5,5,0,5,4,7,6,2,1,4,4,0,4,2,4
493,4,5,0,2,4,6,0,0,0,0,4,4,5,0,5
494,6,5,0,6,4,7,0,2,0,4,4,0,4,0,5
495,0,5,2,6,5,7,1,3,1,0,4,0,0,0,5
496,6,4,0,4,4,7,0,0,0,6,5,0,2,0,5
497,6,7,4,2,6,7,0,0,2,5,4,0,0,0,5
498,0,5,4,6,4,7,2,1,3,6,4,2,0,0,5
499,6,3,2,7,7,7,0,0,0,4,4,0,0,4,5
500,4,5,0,6,5,1,0,3,4,0,4,0,2,0,1
501,7,5,0,6,4,7,0,0,0,4,4,0,0,2,5
502,5,4,0,6,5,6,0,1,0,4,4,0,0,0,5
503,5,5,0,6,4,7,0,0,2,0,5,2,1,0,5
504,0,1,0,7,4,7,2,0,0,6,0,0,2,0,5
505,4,5,0,6,4,2,0,1,0,6,4,0,2,3,5
506,7,5,0,6,4,7,0,0,6,4,4,4,2,0,5
507,4,4,6,6,5,3,0,0,5,4,4,4,1,5,5
508,0,5,0,4,6,7,4,4,0,4,5,0,0,4,5
509,4,5,2,6,4,7,0,0,0,6,5,4,0,0,7
510,4,5,0,6,4,6,0,3,4,0,4,1,0,0,5
511,4,5,0,7,4,7,4,1,0,4,4,2,0,2,5
512,4,4,4,4,4,7,0,0,4,4,7,2,2,0,5
513,4,5,0,6,6,7,0,0,0,4,4,4,5,0,1
514,4,4,4,6,0,7,4,0,0,4,4,0,0,0,4
515,4,5,0,6,4,6,1,0,5,5,5,3,0,4,5
516,4,5,0,4,6,7,6,0,0,4,4,0,0,0,5
517,4,5,2,6,6,5,0,0,0,6,4,0,3,0,4
518,4,4,0,4,4,3,0,0,4,0,4,2,2,0,5
519,4,5,0,6,4,6,0,2,0,4,4,0,0,0,5
520,4,5,0,3,6,6,0,0,4,4,4,0,0,2,5
521,4,1,0,6,4,7,0,0,1,6,6,0,4,1,5
522,4,4,4,6,4,7,0,0,2,4,4,0,4,1,5
523,4,4,4,2,4,7,2,0,0,4,4,0,1,0,4
524,5,5,1,6,2,7,4,6,0,5,4,0,4,2,5
525,4,5,0,6,4,7,4,2,4,4,4,0,2,0,4
526,4,4,0,6,0,7,0,0,0,1,4,0,0,0,6
527,4,1,0,6,6,7,1,4,0,4,6,4,0,4,5
528,4,7,0,4,6,6,0,0,4,5,4,0,0,0,5
529,4,1,0,6,0,7,0,1,0,6,0,2,2,4,1
530,2,4,0,6,5,7,1,0,0,2,4,0,0,0,5
531,3,1,0,6,5,5,2,4,0,5,4,0,4,0,5
532,2,0,2,4,4,7,1,0,0,0,4,4,1,1,5
533,5,5,1,2,4,7,0,0,2,4,0,4,0,0,5
534,4,1,0,7,6,7,0,0,0,4,0,0,4,0,4
535,5,7,2,2,4,4,1,0,4,2,4,0,4,0,4
536,0,1,0,6,4,7,0,0,0,4,4,0,0,1,5
537,6,5,0,6,4,7,5,4,0,6,4,1,1,0,0
538,4,5,0,4,4,7,2,1,2,5,4,0,0,0,5
539,6,1,0,6,2,6,0,0,2,4,4,1,2,0,6
540,4,5,2,6,4,7,0,0,1,4,6,5,0,0,5
541,6,1,0,6,4,7,0,0,0,6,4,0,0,0,5
542,0,5,0,6,4,6,0,2,2,4,4,0,4,0,5
543,4,5,2,6,4,5,3,2,0,6,4,0,0,0,5
544,0,5,1,6,0,7,0,1,0,0,4,0,0,0,5
545,4,1,1,4,2,6,0,0,0,0,4,0,0,0,4
546,4,5,2,6,4,5,1,4,0,4,0,0,0,0,4
547,4,7,0,6,4,7,2,0,0,0,4,0,2,0,3
548,4,5,1,2,4,3,1,0,4,4,4,3,0,4,1
549,5,5,0,4,4,7,0,1,4,4,4,0,0,0,5
550,4,4,0,3,5,7,1,0,0,4,4,0,0,4,5
551,5,4,1,4,4,7,2,4,0,5,0,0,0,0,5
552,4,5,0,2,4,7,0,0,3,4,0,0,1,0,5
553,6,7,0,3,5,6,1,0,0,4,4,2,4,0,4
554,4,7,0,6,4,7,0,2,4,4,4,4,4,0,1
555,4,5,0,7,5,7,2,0,0,4,6,6,0,0,5
556,4,3,0,6,4,7,0,2,0,4,5,0,6,1,5
557,5,7,0,6,4,7,0,1,1,4,4,0,0,2,4
558,4,5,1,7,4,3,2,0,2,4,5,1,0,4,4
559,4,7,0,6,4,7,1,5,1,0,4,1,0,1,4
560,4,4,0,6,4,5,0,0,0,5,0,0,0,0,1
561,2,5,0,7,4,7,0,2,0,4,2,0,0,0,5
562,4,3,0,6,4,7,0,0,0,4,4,0,0,7,1
563,4,5,1,0,4,6,2,0,0,4,4,0,2,1,5
564,5,7,2,2,5,7,1,0,4,4,5,0,0,2,5
565,4,5,2,6,4,7,0,0,2,0,4,0,4,4,7
566,1,5,2,6,4,7,0,4,5,4,4,4,0,0,7
567,3,5,0,6,4,7,0,1,1,4,4,4,0,4,7
568,4,4,0,6,4,7,4,0,0,4,0,0,4,0,7
569,4,5,1,2,6,2,0,0,0,5,4,0,0,1,7
570,4,5,0,6,4,7,0,0,0,0,4,0,1,0,1
571,5,5,1,7,4,7,2,4,0,4,6,0,0,2,5
572,4,7,1,6,4,7,0,4,2,6,6,0,0,0,7
573,4,5,5,6,0,7,0,0,0,4,4,0,0,1,4
574,4,5,0,6,5,3,2,0,0,4,4,4,1,0,5
575,6,5,0,2,1,7,0,2,3,4,4,0,0,0,5
576,4,5,0,7,4,5,2,2,5,4,4,0,0,0,5
577,4,5,0,6,4,7,4,4,4,4,4,0,0,6,5
578,4,1,0,6,4,6,0,1,4,6,6,4,0,0,1
579,4,1,0,6,4,3,0,0,0,4,4,0,0,0,5
580,4,5,4,6,4,7,0,0,0,6,5,4,0,0,5
581,4,4,0,6,5,7,1,0,0,4,4,0,0,0,5
582,4,5,1,6,4,3,0,0,0,4,4,0,0,0,5
583,0,5,0,6,6,3,0,0,0,4,4,0,0,0,5
584,6,5,0,7,4,7,0,0,2,2,6,4,0,4,5
585,4,5,4,6,7,7,0,2,0,4,4,0,4,5,4
586,4,4,4,6,5,7,2,6,1,4,4,0,2,4,1
587,6,5,0,4,4,7,0,4,2,4,4,1,2,0,0
588,4,5,0,6,4,7,4,0,0,4,4,2,4,4,5
589,4,5,4,4,7,7,0,1,4,6,4,0,2,1,7
590,4,5,4,1,4,7,0,0,0,4,1,1,0,0,5
591,4,4,0,7,4,7,0,2,0,5,6,0,0,0,5
592,5,0,0,6,4,5,0,0,0,0,4,0,0,0,5
593,4,7,0,6,4,7,0,0,2,5,1,0,0,4,5
594,4,4,0,7,6,3,0,4,1,4,2,0,0,3,1
595,4,5,0,2,5,5,0,0,0,4,4,0,0,4,5
596,1,5,0,6,4,5,4,0,0,4,6,0,4,0,4
597,6,5,0,2,0,7,2,2,2,4,1,4,0,0,1
598,4,4,2,7,4,7,3,0,0,0,0,0,0,0,5
599,4,1,0,6,0,7,0,0,0,1,0,0,0,0,5
600,4,5,0,6,5,7,1,1,0,4,4,0,0,1,4
601,1,4,4,6,4,7,2,0,3,5,0,0,0,1,5
602,4,5,0,2,4,7,4,0,0,4,4,0,0,4,5
603,4,5,2,6,5,7,0,0,2,4,4,0,2,0,5
604,4,2,0,6,4,4,0,0,0,4,4,0,2,0,5
605,4,5,0,6,4,7,0,0,0,4,4,0,6,0,0
606,4,7,0,6,4,3,1,2,5,0,4,0,4,0,5
607,4,1,5,3,0,6,0,0,0,4,4,0,0,4,5
608,4,5,0,0,4,6,0,3,5,6,5,0,2,0,5
609,5,5,1,2,4,7,4,0,0,5,6,0,0,1,5
610,5,7,0,6,0,7,1,4,0,6,5,0,0,0,5
611,0,1,0,4,4,7,0,0,0,6,1,0,0,0,1
612,4,5,0,6,4,7,0,4,4,4,4,2,2,0,1
613,4,7,2,7,4,7,0,0,0,4,5,0,0,2,5
614,4,3,0,6,0,7,0,0,0,4,4,0,0,4,5
615,4,5,0,6,4,7,5,0,0,6,6,0,0,0,5
616,5,5,0,6,6,5,0,0,0,4,4,1,1,0,5
617,4,5,0,6,4,7,0,0,2,4,6,0,1,5,5
618,0,5,0,6,4,4,2,0,4,4,1,0,1,2,5
619,4,5,0,6,4,3,0,0,0,4,4,0,0,0,5
620,4,4,0,2,6,3,5,2,0,4,5,0,0,0,5
621,4,3,2,0,4,4,0,0,2,5,4,4,0,0,5
622,4,5,1,6,4,5,0,0,6,4,4,0,2,0,5
623,2,7,0,7,4,7,4,0,0,4,4,2,0,0,5
624,4,5,0,6,4,7,1,4,6,2,4,0,1,2,5
625,6,1,2,7,4,7,0,1,0,0,4,0,2,0,5
626,4,5,0,6,0,7,4,2,0,5,4,0,0,0,1
627,6,7,2,7,6,5,2,0,4,4,4,0,0,1,5
628,4,5,0,6,2,7,0,0,0,4,4,4,0,2,7
629,6,0,0,1,6,3,0,4,0,4,4,0,0,0,0
630,4,5,0,7,4,7,4,1,0,4,0,1,4,1,5
631,5,5,4,7,4,7,0,0,1,0,4,2,0,4,5
632,5,6,2,6,6,6,0,0,0,0,4,1,0,2,1
633,4,5,5,6,4,7,0,2,0,5,0,2,7,2,5
634,0,5,0,6,4,7,2,4,0,4,4,0,0,2,5
635,4,5,0,6,4,7,1,0,1,4,4,3,4,4,5
636,4,5,0,6,4,7,0,0,1,5,0,0,0,3,5
637,4,7,0,2,0,7,0,4,0,0,3,1,0,0,5
638,4,5,1,6,0,7,0,0,0,4,6,4,5,0,3
639,5,5,4,6,6,7,1,0,0,4,4,0,4,4,5
640,7,5,0,4,6,7,0,0,0,4,6,0,0,0,5
641,0,5,5,0,0,3,0,5,0,4,4,4,0,2,5
642,4,5,0,6,6,7,2,0,2,4,0,0,6,2,4
643,4,5,2,4,7,7,1,0,4,4,4,0,2,2,5
644,4,1,2,6,4,7,0,0,0,0,4,0,2,0,5
645,6,7,0,2,4,7,4,0,0,4,0,0,0,1,1
646,5,7,0,6,4,3,0,1,4,4,5,4,0,4,5
647,4,1,0,3,4,7,0,2,0,0,5,1,0,0,5
648,4,5,0,6,4,7,0,0,2,4,4,0,0,0,5
649,4,5,1,6,4,7,0,4,0,0,0,4,0,4,5
650,4,7,0,2,4,5,2,0,4,5,0,3,0,0,7
651,4,4,4,2,4,7,0,4,0,4,0,0,2,1,5
652,5,7,4,6,4,6,4,0,1,4,4,0,0,0,5
653,0,5,4,6,0,6,0,0,0,4,6,1,0,0,5
654,4,5,0,6,7,7,1,0,0,4,0,2,0,0,5
655,4,1,4,7,4,7,0,4,7,4,0,6,0,0,7
656,4,5,4,6,4,7,0,0,4,4,5,0,0,5,5
657,4,5,0,6,4,7,0,0,0,4,6,4,0,3,5
658,4,5,0,2,4,7,2,4,0,4,4,0,4,2,1
659,0,4,2,6,4,6,1,0,0,0,4,1,0,1,5
660,4,1,0,6,4,7,0,0,0,4,0,0,0,6,4
661,5,5,0,6,4,7,1,0,1,4,0,6,0,0,1
662,4,4,4,6,6,3,0,0,0,4,4,0,0,0,1
663,0,5,2,6,4,5,0,4,4,0,4,0,0,5,7
664,5,4,0,6,0,7,0,0,0,5,4,2,0,1,7
665,4,5,2,6,4,6,2,6,1,4,6,0,4,0,5
666,7,7,2,6,4,7,0,2,0,4,6,4,0,0,7
667,4,5,0,6,4,7,0,0,0,4,4,0,1,0,7
668,6,5,5,7,1,7,0,0,4,4,4,1,0,0,7
669,4,1,4,3,4,7,0,0,0,6,5,1,4,0,5
670,4,3,2,7,5,7,3,0,0,4,0,3,0,2,1
671,4,5,2,6,4,3,1,0,0,4,4,0,0,0,5
672,5,4,5,0,4,7,0,0,0,4,4,4,0,1,5
673,4,5,4,6,4,7,4,0,2,4,4,0,0,6,5
674,0,0,0,6,4,6,0,4,0,4,4,0,0,1,5
675,4,0,0,6,4,7,1,0,0,0,4,2,0,1,7
676,4,5,0,6,4,7,2,0,0,4,4,4,0,0,4
677,6,5,6,6,4,7,0,0,0,4,4,4,2,1,5
678,1,1,0,6,4,5,2,1,2,4,0,0,2,1,5
679,4,4,2,5,5,5,1,3,2,6,4,2,0,2,5
680,4,7,0,2,5,7,0,5,0,4,4,0,1,2,4
681,0,5,0,7,2,7,1,0,0,4,5,0,4,0,4
682,4,4,0,6,4,7,0,0,1,4,0,0,0,2,4
683,4,5,0,6,5,7,0,0,0,0,5,1,0,2,5
684,4,4,0,6,4,7,0,0,6,5,4,0,0,0,5
685,4,5,0,6,4,7,6,0,0,0,4,0,5,0,5
686,4,5,2,6,4,6,0,0,0,0,4,2,0,2,4
687,0,1,0,6,6,7,0,1,4,4,4,0,0,0,4
688,6,5,0,6,5,6,0,0,0,4,0,0,0,0,1
689,7,5,0,6,4,7,0,0,0,6,5,0,0,0,4
690,4,5,1,7,4,1,2,0,0,4,4,0,0,0,5
691,6,5,0,7,4,6,2,0,0,3,4,3,0,0,5
692,4,1,0,6,4,7,0,0,0,4,4,0,4,0,5
693,0,7,0,2,0,7,0,3,0,4,4,0,3,0,5
694,4,1,0,4,4,7,0,1,1,4,0,0,4,2,5
695,0,5,4,3,4,7,1,2,1,4,5,4,0,0,6
696,2,3,0,6,6,7,0,0,0,0,6,0,0,0,5
697,4,5,0,2,4,7,0,0,2,4,6,0,2,6,7
698,4,5,0,6,4,5,0,0,6,4,0,1,6,0,5
699,2,4,2,7,4,7,0,1,0,4,4,1,0,0,5
700,0,5,0,6,4,7,0,1,0,4,4,0,0,0,5
701,4,6,0,2,6,3,0,0,0,4,4,1,0,2,5
702,4,7,0,7,5,7,0,2,0,4,4,0,0,0,1
703,4,1,0,6,4,7,0,2,1,4,4,1,0,1,5
704,4,1,0,6,4,7,0,6,1,5,6,0,4,0,5
705,6,1,0,6,4,6,2,2,0,6,0,0,0,4,5
706,4,5,1,6,6,7,0,0,2,4,5,0,6,0,1
707,6,5,0,6,5,7,0,6,0,6,0,0,1,2,5
708,4,7,2,6,4,7,0,0,0,4,4,0,0,0,5
709,4,6,2,6,4,7,0,0,0,6,0,2,4,0,5
710,4,5,3,2,4,6,6,2,1,0,4,0,0,0,6
711,4,1,2,7,4,7,0,0,0,4,4,1,0,4,1
712,0,5,0,6,0,7,0,1,3,4,4,0,1,0,5
713,4,5,0,6,5,7,0,0,0,4,4,0,0,0,5
714,6,5,0,6,6,0,1,0,0,4,4,0,0,0,5
715,4,1,4,6,4,5,0,0,0,4,6,2,0,0,7
716,4,5,2,3,4,7,0,0,4,4,0,0,4,0,5
717,4,5,0,6,4,7,0,0,0,4,6,0,0,0,5
718,2,5,0,6,4,7,0,0,1,4,4,4,1,4,5
719,4,5,1,6,4,7,0,3,0,4,4,0,0,0,5
720,4,5,0,6,4,3,0,0,0,4,4,0,1,0,5
721,4,4,1,2,4,7,0,5,5,4,5,1,0,5,5
722,0,5,0,6,4,4,4,0,4,4,4,0,4,0,3
723,4,4,1,6,0,7,2,0,2,4,4,0,0,2,1
724,6,1,0,6,7,7,4,4,0,4,5,0,1,0,5
725,5,5,4,6,5,7,0,4,0,0,4,4,0,0,2
726,1,5,0,6,6,5,0,4,0,4,5,4,0,1,1
727,6,5,0,2,4,7,0,1,1,5,4,0,6,2,7
728,4,5,0,6,4,7,0,4,1,4,4,0,0,0,4
729,5,5,4,4,0,6,0,1,1,0,4,5,7,1,5
730,6,1,0,6,0,7,5,0,0,4,5,0,2,2,5
731,6,5,1,6,4,2,0,0,1,4,0,4,0,0,5
732,4,5,1,7,4,5,0,4,0,4,6,0,0,1,7
733,4,5,4,4,4,7,5,0,4,5,5,0,0,0,1
734,4,5,0,6,7,7,0,2,0,0,5,1,1,0,1
735,6,1,0,6,4,7,0,0,0,4,4,0,0,1,7
736,7,5,0,6,4,7,6,0,1,4,4,4,0,0,5
737,7,5,0,6,0,3,0,0,2,4,4,0,0,2,6
738,0,5,0,7,4,7,0,0,0,0,5,0,0,4,3
739,6,5,0,4,4,7,0,0,4,4,4,0,0,0,5
740,4,5,0,4,4,6,1,0,1,6,6,0,1,0,5
741,6,1,0,4,7,5,0,5,0,0,6,1,0,0,7
742,4,5,0,6,6,7,0,0,0,4,4,0,2,4,3
743,4,4,0,4,4,7,0,1,0,4,4,0,0,2,5
744,0,5,0,6,4,3,4,0,0,4,0,4,0,0,5
745,6,5,0,7,5,6,1,0,0,6,4,0,0,0,5
746,4,7,0,6,6,1,0,4,0,4,4,0,0,3,5
747,6,5,5,6,4,7,0,0,0,4,4,2,0,2,5
748,4,5,1,2,4,7,0,1,0,4,4,4,0,0,4
749,6,5,0,6,4,7,0,0,0,4,4,4,1,2,4
750,0,7,0,6,6,7,0,0,0,7,2,0,2,0,1
751,7,5,0,6,4,7,0,0,3,4,4,0,0,0,5
752,4,5,0,6,4,7,4,0,0,6,4,0,0,2,5
753,4,4,0,5,0,6,0,0,2,5,4,0,0,0,4
754,6,5,4,2,4,7,0,0,0,0,4,0,0,0,7
755,4,1,2,7,4,7,0,0,1,4,5,0,0,0,5
756,6,4,1,6,0,6,2,1,0,4,4,0,0,0,5
757,0,5,5,6,4,7,0,0,0,4,4,0,0,0,5
758,6,4,0,6,4,7,0,2,3,3,4,0,4,0,5
759,6,5,0,6,6,7,4,0,4,4,1,0,0,4,5
760,4,4,2,2,6,7,2,0,1,4,4,0,4,0,5
761,5,5,0,6,2,7,0,0,2,5,4,2,0,0,5
762,4,5,2,6,4,7,0,5,2,6,4,0,2,0,5
763,5,5,0,6,4,7,0,1,4,5,1,0,0,0,1
764,4,0,6,6,4,7,0,0,0,0,4,0,1,0,5
765,4,5,2,6,4,3,0,0,0,6,4,0,1,0,7
766,4,6,1,4,4,3,1,0,2,4,4,0,0,1,5
767,0,5,2,6,4,3,4,1,2,4,4,5,0,0,5
768,1,1,2,6,4,7,0,0,0,7,6,4,0,0,5
769,4,5,0,2,4,5,1,0,0,0,6,0,0,1,5
770,4,5,4,4,4,7,0,0,0,5,1,0,4,0,7
771,4,4,2,6,7,7,0,0,0,4,4,0,0,2,5
772,0,4,0,6,4,2,2,0,0,4,4,0,0,1,5
773,4,4,1,7,4,7,5,1,0,4,4,0,1,0,5
774,4,5,0,6,4,7,1,1,0,4,4,6,0,5,7
775,4,5,2,2,4,7,0,1,0,4,0,0,0,0,5
776,4,5,1,4,4,6,0,0,0,4,4,0,0,4,5
777,4,5,5,2,4,7,0,4,2,0,4,0,0,0,5
778,4,1,1,6,4,7,0,0,4,4,4,0,0,0,4
779,4,4,0,6,0,6,0,4,0,4,4,0,2,0,5
780,6,5,0,7,4,5,0,3,0,4,4,0,0,2,1
781,4,4,6,6,0,6,0,0,1,4,4,0,2,2,5
782,5,1,0,6,6,3,2,1,0,5,4,0,0,0,1
783,4,5,0,6,4,3,0,0,0,6,4,0,0,0,5
784,4,5,1,6,4,7,0,0,0,4,4,0,0,2,0
785,6,5,0,4,5,6,0,2,4,6,4,2,0,0,5
786,4,4,0,6,4,7,0,1,0,5,6,0,0,0,5
787,4,5,0,0,4,7,0,0,1,0,6,0,0,4,1
788,4,4,0,6,4,7,1,4,0,0,0,3,0,1,5
789,6,5,0,6,4,7,0,3,3,4,5,0,0,4,5
790,4,5,0,6,4,7,0,0,0,4,0,1,2,0,5
791,4,5,0,6,4,7,1,0,2,4,4,6,3,4,5
792,4,5,2,6,4,3,2,1,0,4,5,0,4,0,5
793,4,7,2,4,4,5,0,0,0,4,4,4,0,2,5
794,4,4,4,6,4,7,4,0,1,4,4,2,1,6,5
795,0,4,2,6,0,3,0,0,4,2,5,0,0,0,3
796,4,5,3,6,4,6,1,1,2,5,0,0,2,0,7
797,2,5,0,6,4,1,0,0,0,4,6,4,0,3,5
798,0,5,0,6,4,7,0,2,0,4,4,0,0,0,5
799,4,5,0,6,4,7,1,0,0,4,4,0,0,0,4
800,4,4,4,6,4,7,4,0,0,4,4,1,4,0,5
801,4,5,4,2,4,6,2,6,0,6,4,0,1,0,5
802,4,5,2,6,4,7,1,0,0,0,4,0,4,1,5
803,4,5,0,6,4,7,0,0,0,4,4,0,0,2,7
804,4,4,0,6,6,7,0,4,2,4,0,1,0,0,5
805,6,5,0,6,4,7,0,0,0,1,6,0,5,4,7
806,4,5,0,6,2,0,1,5,0,4,5,0,0,0,1
807,5,5,0,6,4,7,6,0,0,4,0,4,4,1,5
808,0,5,0,6,0,7,0,2,0,4,6,0,0,0,5
809,4,5,4,6,0,0,0,1,4,4,4,0,1,0,5
810,3,5,4,7,4,7,0,0,0,4,0,2,0,0,5
811,6,5,0,2,4,7,0,0,0,0,5,0,0,2,5
812,4,7,0,6,4,7,0,0,0,5,6,1,1,0,5
813,0,5,0,6,4,4,0,0,0,4,6,0,0,2,5
814,4,5,2,6,4,7,0,0,1,0,4,0,0,1,5
815,4,5,1,3,4,7,0,0,0,4,4,0,1,4,5
816,4,5,1,6,0,7,0,1,0,4,4,0,4,0,4
817,0,5,4,6,4,7,0,0,2,4,0,0,3,0,5
818,4,4,4,6,0,7,0,2,0,4,5,0,1,0,5
819,6,5,1,7,7,7,1,1,0,4,6,0,0,5,5
820,4,5,0,6,4,7,0,5,0,4,4,0,0,3,5
821,7,5,1,6,4,7,0,1,0,7,4,0,1,4,5
822,4,5,0,6,4,7,1,3,0,0,0,4,0,2,5
823,0,1,0,6,4,7,4,1,3,4,6,1,1,2,5
824,0,4,0,6,0,7,2,0,0,6,6,0,0,1,7
825,4,5,6,7,6,7,0,1,0,4,4,4,0,2,5
826,4,5,2,6,4,6,0,1,0,4,5,0,0,0,5
827,0,5,4,4,4,7,0,0,2,4,5,0,0,0,7
828,4,5,1,4,4,5,0,1,0,4,4,0,0,0,5
829,4,5,0,4,0,6,0,0,0,4,5,0,0,3,7
830,6,7,0,4,4,7,0,0,0,4,4,0,0,0,4
831,5,5,1,6,4,7,0,0,0,4,4,0,2,0,5
832,4,5,0,6,6,7,1,0,0,6,6,0,0,0,5
833,4,5,1,6,4,6,1,0,4,4,4,1,0,3,5
834,4,5,0,6,4,7,0,0,1,4,4,3,4,0,7
835,4,5,0,6,4,6,4,0,1,4,0,1,0,0,5
836,4,5,0,2,5,3,0,2,5,5,5,0,0,0,7
837,4,7,0,6,6,5,0,4,1,4,6,4,1,1,5
838,7,5,0,6,4,7,4,0,4,4,4,0,4,1,5
839,0,5,0,4,6,5,0,0,4,4,0,0,0,0,4
840,4,5,2,6,6,2,2,0,0,6,4,3,6,0,5
841,4,4,0,7,4,3,0,0,0,4,4,0,0,4,5
842,4,4,4,6,4,5,5,1,0,6,4,2,0,0,7
843,5,5,6,6,4,7,0,5,4,4,7,0,0,4,5
844,4,4,0,6,2,7,4,0,1,4,2,2,2,2,5
845,4,5,0,6,4,7,0,2,0,4,4,0,0,0,5
846,6,5,0,4,4,4,0,0,0,4,5,2,0,0,5
847,4,5,4,6,4,7,0,5,0,5,0,0,0,0,1
848,6,7,0,7,6,5,1,4,1,0,4,0,2,4,5
849,4,4,0,6,4,7,0,0,0,4,5,0,0,4,5
850,0,1,0,6,4,7,2,4,0,7,4,0,0,1,5
851,4,5,0,6,4,5,2,0,1,4,5,0,4,4,1
852,4,5,0,6,6,7,0,4,0,4,4,2,0,0,5
853,4,7,0,6,5,4,3,1,2,4,4,1,1,0,5
854,4,5,0,0,4,7,0,0,0,5,5,0,2,4,5
855,4,5,1,6,1,3,0,5,0,4,4,0,0,2,1
856,4,5,4,7,4,4,0,0,0,4,4,5,0,2,5
857,4,5,4,6,4,6,1,4,0,4,4,0,0,0,5
858,4,4,0,6,6,3,1,0,0,4,6,0,0,0,5
859,1,5,0,6,4,7,1,4,1,4,4,2,4,2,7
860,4,1,0,2,4,7,0,0,0,4,1,0,1,0,7
861,6,1,0,6,2,7,0,0,0,7,1,0,0,0,5
862,4,7,0,6,4,6,2,0,3,4,4,0,0,1,5
863,0,5,1,7,6,3,0,0,4,4,6,0,0,0,5
864,4,5,5,2,6,7,0,4,0,4,4,2,0,4,5
865,4,5,2,7,4,7,2,0,0,4,4,0,0,0,5
